City,Edition,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
Munich,1972,Aquatics,Water polo,"BODNAR, Andras",HUN,Men,water polo,M,Silver
Munich,1972,Aquatics,Water polo,"CSERVENYAK, Tibor",HUN,Men,water polo,M,Silver
Munich,1972,Aquatics,Water polo,"FARAGO, Tamas",HUN,Men,water polo,M,Silver
Munich,1972,Aquatics,Water polo,"GÖRGENYI, Istvan",HUN,Men,water polo,M,Silver
Munich,1972,Aquatics,Water polo,"KASAS, Zoltan",HUN,Men,water polo,M,Silver
Munich,1972,Aquatics,Water polo,"KONRAD, Ferenc",HUN,Men,water polo,M,Silver
Munich,1972,Aquatics,Water polo,"MAGAS, Istvan",HUN,Men,water polo,M,Silver
Munich,1972,Aquatics,Water polo,"MOLNAR, Endre",HUN,Men,water polo,M,Silver
Munich,1972,Aquatics,Water polo,"POCSIK, Denes",HUN,Men,water polo,M,Silver
Munich,1972,Aquatics,Water polo,"SAROSI, Laszlo",HUN,Men,water polo,M,Silver
Munich,1972,Aquatics,Water polo,"SZIVOS, Istvan",HUN,Men,water polo,M,Silver
Munich,1972,Archery,Archery,"LAASONEN, Kyösti Kalevi",FIN,Men,individual FITA round,M,Bronze
Munich,1972,Archery,Archery,"WILLIAMS, John Chester",USA,Men,individual FITA round,M,Gold
Munich,1972,Archery,Archery,"JERVILL, Gunnar",SWE,Men,individual FITA round,M,Silver
Munich,1972,Archery,Archery,"GAPCHENKO, Emma",URS,Women,individual FITA round,W,Bronze
Munich,1972,Archery,Archery,"WILBER, Doreen Viola Hansen",USA,Women,individual FITA round,W,Gold
Munich,1972,Archery,Archery,"SZYDLOWSKA, Irena",POL,Women,individual FITA round,W,Silver
Munich,1972,Athletics,Athletics,"YIFTER, Miruts",ETH,Men,10000m,M,Bronze
Munich,1972,Athletics,Athletics,"VIREN, Lasse",FIN,Men,10000m,M,Gold
Munich,1972,Athletics,Athletics,"PUTTEMANS, Emiel",BEL,Men,10000m,M,Silver
Munich,1972,Athletics,Athletics,"MILLER, Lennox",JAM,Men,100m,M,Bronze
Munich,1972,Athletics,Athletics,"BORZOV, Valery",URS,Men,100m,M,Gold
Munich,1972,Athletics,Athletics,"TAYLOR, Robert",USA,Men,100m,M,Silver
Munich,1972,Athletics,Athletics,"CHIVAS BARO, Silvia",CUB,Women,100m,W,Bronze
Munich,1972,Athletics,Athletics,"STECHER, Renate",GDR,Women,100m,W,Gold
Munich,1972,Athletics,Athletics,"BOYLE, Raelene Ann",AUS,Women,100m,W,Silver
Munich,1972,Athletics,Athletics,"RICHERT-BALZER, Karin",GDR,Women,100m hurdles,W,Bronze
Munich,1972,Athletics,Athletics,"EHRHARDT, Annelie",GDR,Women,100m hurdles,W,Gold
Munich,1972,Athletics,Athletics,"BUFANU-STEFANESCU, Valeria",ROU,Women,100m hurdles,W,Silver
Munich,1972,Athletics,Athletics,"HILL, Thomas",USA,Men,110m hurdles,M,Bronze
Munich,1972,Athletics,Athletics,"MILBURN, Rodney Jr.",USA,Men,110m hurdles,M,Gold
Munich,1972,Athletics,Athletics,"DRUT, Guy",FRA,Men,110m hurdles,M,Silver
Munich,1972,Athletics,Athletics,"DIXON, Rodney",NZL,Men,1500m,M,Bronze
Munich,1972,Athletics,Athletics,"VASALA, Pekka",FIN,Men,1500m,M,Gold
Munich,1972,Athletics,Athletics,"KEINO, Kipchoge",KEN,Men,1500m,M,Silver
Munich,1972,Athletics,Athletics,"PIGNI-CACCHI, Paola",ITA,Women,1500m,W,Bronze
